,Dataset,Total Samples,Retained Count,Retained %,Churned Count,Churned %
0,Full Dataset,7032,5163,73.42150170648463,1869,26.578498293515356
1,Training Set,5625,4130,73.42222222222222,1495,26.57777777777778
2,Test Set,1407,1033,73.41862117981522,374,26.581378820184792
